S0001	Density Functional Theory, or DFT, predicts how atoms interact by estimating their electronic structure from quantum-mechanical principles.
S0002	DFT underpins much of computational chemistry and materials science, helping with areas such as drug discovery, energy storage, and semiconductor research [68,75,28,70,71,61,74].
S0003	Even though DFT is widely used, it is expensive enough computationally that it cannot be used as often or at as large a scale as researchers would like.
S0004	Machine-learning models may approximate DFT accurately while running much faster, with roughly linear scaling instead of DFT's much steeper scaling.
S0005	Here n is the number of atoms, so replacing O(n^3) DFT with a faster model can shrink a calculation from hours to under a second.
S0006	The ideal machine-learning interatomic potential, or MLIP, would work across the many different scientific tasks that normally rely on DFT.
S0007	In this paper, a task means both a chemical domain, such as materials, catalysts, or molecules, and the DFT settings specialized for that domain.
S0008	Within each task, DFT can be used for applications such as molecular dynamics, structure relaxation, vibrational analysis, and mechanical-response calculations.
S0009	Building MLIPs that work well across all those tasks is still unsolved.
S0010	In language and vision AI, scaling data and model size produced major improvements and broader generalization [2,25].
S0011	Scaling atomistic datasets is harder because DFT data are expensive to generate, so most atomistic models have been trained on smaller task-specific datasets [17,18,56].
S0012	One possible answer is to combine data from many tasks, creating very large datasets for multi-task training.
S0013	Recent public datasets for catalysts, materials, and molecules now add up to nearly half a billion atomic systems when combined [11,70,5,66,44].
S0014	That combined dataset covers a much wider range of interactions and chemical environments, as shown in Figure 1, making general-purpose atomistic models more plausible.
S0015	The paper introduces Universal Models for Atoms, or UMA, to test how accurate, fast, and general a single model can be across chemistry and materials science.
S0016	Training on about 500 million atomic systems creates new tradeoffs between accuracy, efficiency, and multi-task learning.
S0017	The authors study empirical scaling laws connecting compute, data, and model size so they can choose model sizes and training strategies that are optimal for training cost or inference cost.
S0018	To add model capacity without slowing practical simulations such as molecular dynamics, they introduce Mixture of Linear Experts, or MoLE.
S0019	They also use a two-stage training schedule: first pre-train efficiently, then refine the model so it conserves energy more accurately.
S0020	UMA is tested without task-specific fine-tuning and performs about as well as, or better than, specialized models in accuracy, speed, and memory use across materials, molecule, and catalysis benchmarks.
S0021	Reported highlights include state-of-the-art Matbench Discovery results [58], a 25% improvement in successful catalysis adsorption-energy calculations [43], and accuracy useful for drug-design ligand-strain energies [44].
S0022	The authors say they will publicly release the code and training data.
S0023	They also say UMA model weights will be released under a commercially permissive license, with geographic and acceptable-use restrictions.
S0024	An MLIP stands in for DFT, so it takes the same basic inputs: atom positions, atomic numbers, and sometimes spin and charge.
S0025	It predicts an atomic structure's energy, and other properties such as forces and stress can be computed from derivatives of that energy.
S0026	For molecular dynamics or structure relaxation, the MLIP repeatedly predicts forces, sometimes thousands or millions of times.
S0027	That is why an MLIP must be both accurate and fast.
S0028	UMA is a family with three sizes: small, medium, and large.
S0029	Table 1 summarizes those models.
S0030	The three sizes trade off accuracy and speed differently, so they target different use cases.
S0031	UMA-S balances accuracy and efficiency and is meant for costly workloads such as long molecular-dynamics simulations.
S0032	The source sentence is partially mixed with a figure caption; its main point is that UMA-M is the more general-purpose model and that MoLE replaces certain operations in the architecture.
S0033	This is a Figure 2 caption fragment showing the MoE and MoLE concepts.
S0034	The routing embedding uses only global information, so expert weights can be merged before the forward pass, which helps long rollouts such as molecular dynamics.
S0035	This is another Figure 2 caption fragment comparing UMA-S with MoLE against dense single-task and multi-task variants.
S0036	The caption notes that the MoLE model outperforms the non-MoLE versions.
S0037	The caption also refers to loss plots where the number of experts is varied from 1 to 128 for UMA-S.
