S0001	To address the speed problem, the authors built a biomolecular emulator called BioEmu that tries to sample the usual set of shapes a single protein chain takes, along with how often those shapes occur.
S0002	BioEmu is a deep-learning generator that can produce thousands of separate protein-structure samples per hour on one GPU.
S0003	It uses AlphaFold to turn a protein sequence into a rich internal description, and then feeds that description into a diffusion model that builds 3D structures.
S0004	The team trained BioEmu in three stages: first on a processed version of the AlphaFold Database (AFDB), in a way that encouraged the model to link each sequence to many possible structures instead of just one.
S0005	They then kept training it on a very large MD dataset covering thousands of proteins and more than 200 milliseconds of total simulated time.
S0006	Finally, they further trained it on more than 500,000 experimental protein-stability measurements using a new method they call property-prediction fine-tuning, or PPFT.
S0007	The authors tested BioEmu on protein systems unlike the ones it saw in training, and they judged it on three tasks: first, whether it could recover known shape changes such as large domain motions, local unfolding, and hidden binding-pocket formation, with success rates between 55% and 90%.
S0008	Second, they tested whether BioEmu could reproduce equilibrium behavior seen in large MD studies of both protein folding and native-state shape changes, with free-energy errors below 1 kcal/mol and speedups of 10,000-fold to 100,000-fold.
S0009	Third, they tested whether it could predict experimentally measured stabilities of folded small proteins by directly generating equilibrium ensembles and explaining how mutations change stability, with errors below 1 kcal/mol and correlations above 0.6 for both absolute folding energies and mutation-driven energy changes.
S0010	The authors say BioEmu could be useful for speeding up MD workflows, helping interpret protein experiments structurally, finding binding pockets and allosteric effects in drug discovery, and generating ensembles for protein design tasks that depend on motion.
S0011	Their broader claim is that the expensive up-front cost of collecting MD and experimental data can be reused many times, and that performance should keep improving as more diverse training data are added.
S0012	The corresponding author is Frank Noe.
S0013	Frank Noe can be reached at `franknoe@microsoft.com`, and the dagger marks show which authors contributed equally.
S0014	Cite the paper like this.
S0015	S. Lewis et al., *Science* 389, eadv9817 (2025).
S0016	The DOI is 10.1126/science.adv9817.
S0017	This illustration summarizes the BioEmu model and workflow.
S0018	It shows that BioEmu combines AlphaFold’s sequence representation with a diffusion model trained on large simulation and experimental datasets to generate equilibrium structure ensembles.
S0019	Those ensembles can then be used to quickly estimate properties such as protein stability, at speeds far beyond standard MD. [Emu illustration by F.N.]
S0020	Proteins are the main working parts of life, and they matter enormously in drug discovery and biotechnology.
S0021	We can now read protein sequences and predict static structures at genome scale, but we still do not have an equally scalable way to predict protein function.
S0022	Protein function depends heavily on dynamics, especially shifts between long-lived shapes and on binding and unbinding events with other proteins or small molecules.
S0023	Those shape changes, composition changes, and the probabilities of each state under a given temperature, solvent, and concentration together determine how a protein behaves in the real world.
S0024	Experiments and MD can reveal these structure-dynamics relationships very accurately, but they are too slow to use at high throughput.
S0025	Proteins and protein complexes are the basic functional machinery of life and are central to medicine and biotechnology.
S0026	Modern sequencing and structure-prediction tools have transformed our access to sequences and static structures, but scalable tools for studying function are still missing.
S0027	A major reason is that proteins often work by switching between different shapes, and those shape changes are often linked to binding events.
S0028	For example, actin forms muscle fibers because it changes shape, and that process is controlled by whether ATP or ADP is bound. (ATP and ADP are two related energy-carrying molecules.)
S0029	Current tools that can measure these shape changes and their coupling to binding states do not scale well.
S0030	Single-molecule experiments can, in principle, recover full equilibrium behavior from measurements such as distances inside one molecule, but they need custom constructs and slow data collection.
S0031	Cryo-EM can recover multiple shapes of a biomolecular complex and estimate how probable each one is, but those experiments are also slow and expensive.
S0032	In principle, MD is a universal tool because it can model both structure and motion at all-atom detail.
S0033	In practice, MD is still limited because force fields are imperfect and because sampling rare events like folding or binding is extremely expensive.
S0034	The authors built BioEmu as a model meant to approximately sample the equilibrium distribution of protein conformations, meaning the collection of shapes a protein naturally visits and how often it visits them.
S0035	Its architecture is similar to Distributional Graphormer, or DiG, but the way it is trained is different.
S0036	Given a protein sequence, the model first computes single-sequence and pairwise representations with the AlphaFold2 Evoformer.
S0037	That representation is then passed to a denoising diffusion model, which constructs protein structures step by step. (See Figure 1B-C.)
S0038	The sequence encoding only has to be done once per protein, and the structure-generation process can finish in as few as 30 to 50 denoising steps.
S0039	Because of that, the model can sample 10,000 separate structures from the learned equilibrium ensemble in anywhere from minutes to a few hours on one GPU, depending on protein size.
S0040	One major training problem was that there is no single high-quality dataset that directly gives equilibrium protein distributions.
S0041	So the authors combined several complementary training sources instead.
S0042	First, they pretrained on a clustered AlphaFold Database using data augmentation that encouraged the model to produce diverse conformations rather than collapse to one answer.
S0043	Second, they continued training on more than 200 milliseconds of all-atom MD from thousands of small and medium proteins.
S0044	To reduce MD sampling bias, they reweighted those MD data toward equilibrium, either with Markov state models or, when possible, with weights derived from experiments.
S0045	Third, they fine-tuned the model on 500,000 sequences from the MEGAscale dataset, which is a large, standardized set of in vitro protein-stability measurements.
S0046	Because MEGAscale does not contain structures, they developed PPFT, a new way to feed experimental measurements into diffusion-model training without needing full structural labels.
S0047	After the revolutions in sequencing and structure prediction, the next major challenge is predicting protein shape changes that actually matter for function, at large scale.
S0048	The paper presents BioEmu as a deep-learning system that can generate thousands of separate samples from a protein’s equilibrium ensemble every hour on a single GPU.
S0049	It combines more than 200 milliseconds of MD data, static structures, and experimental protein-stability measurements using new training algorithms.
S0050	The model captures many kinds of functional motion, including hidden-pocket formation, local unfolding, and domain rearrangement, and it predicts relative free energies to within about 1 kilocalorie per mole compared with long MD runs and experiments.
S0051	Because it models both structural ensembles and thermodynamic properties together, it can also suggest mechanisms rather than just output scores.
S0052	The authors argue that this lets them spread the heavy up-front cost of MD and experiments across many later predictions, which matters because direct MD studies of folding or association are still enormously expensive even with specialized hardware and enhanced-sampling tricks.
S0053	There is also work on machine-learned coarse-grained MD, which could lower the cost by another two to three orders of magnitude while keeping similar accuracy, but those methods are still being developed.
S0054	So the field needs a tool that can reveal protein shape states, binding states, and the probabilities of those states.
S0055	In the ideal case, that tool would be as trustworthy as a well-converged MD run or a multiconformation cryo-EM analysis, but would take only hours and cost only a few dollars.
S0056	Older physics-based generative models such as Boltzmann generators showed that machine learning can sample equilibrium distributions of molecular energy functions, but scaling that idea to large biomolecules with high sample efficiency is still hard.
S0057	At the same time, data-driven generative models such as diffusion models are now widely used in protein structure prediction and design.
S0058	Those models, along with AlphaFold-based perturbation methods, can produce multiple different structures and can also be combined with MD to help with the sampling problem.
S0059	But so far, most generative ML systems have mainly shown that they can sample different conformations qualitatively, not that they can match the right equilibrium probabilities quantitatively.
S0060	The authors argue that the next key step is to prove that generative ML can reproduce full equilibrium ensembles and predict real experimental observables; to encourage true generalization, they filtered training so that no protein was more than 40% sequence-similar to a predefined holdout set of reported test proteins at least 20 residues long.
S0061	In the rest of the paper, “BioEmu” means the fully fine-tuned version trained on AFDB, MD simulations, and experimental protein-stability measurements.
S0062	Unless they say otherwise, all later results use that final model.
S0063	Figure 1.
S0064	Overview of model and architecture.
S0065	(A) Actin as a representative example of protein function driven by conformational changes.
S0066	Actin filament formation depends on an open-close transition of monomers, which is controlled by ADP and ATP binding.
S0067	(B) Given a protein sequence, BioEmu samples protein structures from an approximate equilibrium distribution, from which properties such as free-energy differences can be computed. [Emu illustration by F.N.] (C) ML model architecture consisting of protein sequence encoder, denoising diffusion model, and score model.
S0068	The protein structure is represented using coarse-grained backbone frames.
S0069	(D) Data integration and model training pipeline.
S0070	(E) Data processing pipeline for pretraining.
S0071	MLP, multilayer perceptron; repr., representation; feat., features.
S0072	We consider the ability to qualitatively sample distinct, biologically relevant conformations as a foundation for building a quantitative equilibrium sampler.
S0073	So we first tested whether BioEmu could predict known conformational changes and compared this capability with AFCluster (15), AlphaFlow (13), DiG (12), and uniform multiple-sequence alignment (MSA) subsampling (22) as representative baseline methods (materials and methods). (MSA means multiple-sequence alignment, a stack of related sequences.)
S0074	To benchmark BioEmu’s ability to capture functionally relevant structural variability, we curated four benchmark sets comprising around 100 proteins with experimentally validated transitions (Figures S1 to S4).
S0075	The first set, OOD60, assesses sequence generalization.
S0076	The remaining three sets target specific types of conformational change: domain motions, local unfolding transitions, and cryptic pocket formations.
