S0001	How could machines learn as efficiently as humans and animals?
S0002	How could machines learn to reason and plan?
S0003	How could machines learn representations of sensory inputs and action plans at multiple levels of abstraction, enabling them to reason, predict, and plan at multiple time horizons?
S0004	This position paper proposes an architecture and training paradigms with which to construct autonomous intelligent agents.
S0005	It combines concepts such as configurable predictive world model, behavior driven through internal motivation, and multi-level joint embedding architectures trained with self-supervised learning. (Self-supervised learning means learning from the structure inside raw data rather than from human-provided labels.)
S0006	Keywords: Artificial Intelligence, Machine Common Sense, Cognitive Architecture, Deep Learning, Self-Supervised Learning, Energy-Based Model, World Models, Joint Embedding Architecture, internal motivation.
S0007	This document is not a technical nor scholarly paper in the traditional sense, but a position paper expressing my vision for a path towards intelligent machines that learn more like animals and humans, that can reason and plan, and whose behavior is driven by intrinsic objectives, rather than by hard-wired programs, external supervision, or external rewards.
S0008	Many ideas described in this paper (almost all of them) have been formulated by many authors in various contexts in various form.
S0009	The present piece does not claim priority for any of them but presents a proposal for how to assemble them into a consistent whole.
S0010	In particular, the piece pinpoints the challenges ahead.
S0011	It also lists a number of avenues that are likely or unlikely to succeed.
S0012	The text is written with as little jargon as possible, and using as little mathematical prior knowledge as possible, so as to appeal to readers with a wide variety of backgrounds including neuroscience, cognitive science, and philosophy, in addition to machine learning, robotics, and other fields of engineering.
S0013	I hope that this piece will help contextualize some of the research in AI whose relevance is sometimes difficult to see.
S0014	Animals and humans exhibit learning abilities and understandings of the world that are far beyond the capabilities of current AI and machine learning (ML) systems.
S0015	How is it possible for an adolescent to learn to drive a car in about 20 hours of practice and for children to learn language with what amounts to a small exposure.
S0016	How is it that most humans will know how to act in many situation they have never encountered?
S0017	By contrast, to be reliable, current ML systems need to be trained with very large numbers of trials so that even the rarest combination of situations will be encountered frequently during training.
S0018	Still, our best ML systems are still very far from matching human reliability in real-world tasks such as driving, even after being fed with major amounts of supervisory data from human experts, after going through millions of reinforcement learning trials in virtual environments, and after engineers have hardwired hundreds of behaviors into them.
S0019	The answer may lie in the ability of humans and many animals to learn world models, internal models of how the world works.
S0020	There are three main challenges that AI research must address today: 1.
S0021	How can machines learn to represent the world, learn to predict, and learn to act largely by observation?
S0022	Interactions in the real world are expensive and dangerous, intelligent agents should learn as much as they can about the world without interaction (by observation) so as to minimize the number of expensive and dangerous trials necessary to learn a particular task.
S0023	2.
S0024	How can machine reason and plan in ways that are compatible with gradient-based learning?
S0025	Our best approaches to learning rely on estimating and using the gradient of a loss, which can only be performed with differentiable architectures and is difficult to reconcile with logic-based symbolic reasoning. (Differentiable here means the system is smooth enough for gradient-based learning signals to flow through it.)
S0026	3.
S0027	How can machines learn to represent sensory inputs and action plans in a multi-level manner, at multiple levels of abstraction, and multiple time scales?
S0028	Humans and many animals are able to conceive multilevel abstractions with which long-term predictions and long-term planning can be performed by decomposing complex actions into sequences of lower-level ones.
S0029	The present piece proposes an architecture for intelligent agents with possible solutions to all three challenges.
S0030	The main contributions of this paper are the following: 1. an overall cognitive architecture in which all modules are differentiable and many of them are trainable (Section 3, Figure 2).
S0031	2.
S0032	JEPA and multi-level JEPA: a non-generative architecture for predictive world models that learn a hierarchy of representations (Sections 4.4 and 4.6, Figures 12 and 15). (JEPA means Joint-Embedding Predictive Architecture, a model that predicts useful internal representations instead of raw output details.)
S0033	3. a non-contrastive self-supervised learning paradigm that produces representations that are simultaneously informative and predictable (Section 4.5, Figure 13).
S0034	4.
S0035	A way to use H-JEPA as the basis of predictive world models for multi-level planning under uncertainty (section 4.7, Figure 16 and 17). (H-JEPA means Hierarchical JEPA, a stacked multi-level version of JEPA for reasoning at different levels of abstraction.)
S0036	Impatient readers may prefer to jump directly to the aforementioned sections and figures.
S0037	Human and non-human animals seem able to learn major amounts of background knowledge about how the world works through observation and through an incomprehensibly small amount of interactions in a task-independent, unsupervised way.
S0038	It can be hypothesized that this accumulated knowledge may constitute the basis for what is often called common sense.
S0039	Common sense can be seen as a collection of models of the world that can tell an agent what is likely, what is plausible, and what is impossible.
S0040	Using such world models, animals can learn new skills with very few trials.
S0041	They can predict the consequences of their actions, they can reason, plan, explore, and imagine new solutions to problems.
S0042	Importantly, they can also avoid making dangerous mistakes when facing an unknown situation.
S0043	The idea that humans, animals, and intelligent systems use world models goes back a long time in psychology (Craik, 1943).
S0044	The use of forward models that predict the next state of the world as a function of the current state and the action being considered has been standard procedure in optimal control since the 1950s (Bryson and Ho, 1969) and bears the name model-predictive control. (Model-predictive control is a planning method that simulates future outcomes before acting.)
S0045	The use of differentiable world models in reinforcement learning has long been neglected but is making a comeback (see for example (Levine, 2021)) A self-driving system for cars may require thousands of trials of reinforcement learning to learn that driving too fast in a turn will result in a bad outcome, and to learn to slow down to avoid skidding.
S0046	By contrast, humans can draw on their intimate knowledge of intuitive physics to predict such outcomes, and largely avoid fatal courses of action when learning a new skill.
S0047	Common sense knowledge does not just allow animals to predict future outcomes, but also to fill in missing information, whether temporally or spatially.
S0048	It allows them to produce interpretations of sensory inputs that are consistent with common sense.
S0049	When faced with an ambiguous sensory input, common sense allows animals to dismiss interpretations that are not consistent with their internal world model, and to pay special attention as it may indicate a dangerous situation and an opportunity for learning a refined world model. (A world model is an internal predictive model of how the world changes over time.)
S0050	I submit that devising learning paradigms and architectures that would allow machines to learn world models in an unsupervised (or self-supervised) fashion, and to use those models to predict, to reason, and to plan is one of the main challenges of AI and ML today.
S0051	One major technical hurdle is how to devise trainable world models that can deal with complex uncertainty in the predictions.
S0052	Humans and non-human animals learn basic knowledge about how the world works in the first days, weeks, and months of life.
S0053	Although major quantities of such knowledge are acquired quite quickly, the knowledge seems so basic that we take it for granted.
S0054	In the first few months of life, we learn that the world is three-dimensional.
S0055	We learn that every 9 10 11 12 source of light, sound, and touch in the world has a distance from us.
S0056	The fact that every point in a visual sensory input has a distance is the best way to explain how our view of the world changes from our left eye to our right eye, or when our head is being moved.
S0057	Parallax motion makes depth obvious, which in turn makes the notion of object obvious, as well as the fact that objects can occlude more distant ones.
S0058	Once the existence of objects is established, they can be automatically assigned to broad categories as a function of their appearance or behavior.
S0059	On top of the notion of object comes the knowledge that objects do not spontaneously appear, disappear, change shape, or teleport: they move smoothly and can only be in one place at any one time.
