S0001	Today, chemists often use standard computer calculations to predict molecular shapes, reaction energies, energy barriers, and spectra.
S0002	Most of those quantum-chemistry calculations use density functional theory, or DFT, together with atomic-orbital basis sets, which are mathematical building blocks for describing electrons around atoms.
S0003	This article gives practical advice for running DFT calculations in three parts: first, it introduces a decision tree for choosing a computational setup that matches the real experiment as closely as possible.
S0004	Second, it gives a recommendation table for choosing the DFT functional and basis set that fit the specific job.
S0005	A central theme is balancing three needs at once: accuracy, reliability, and reasonable computational cost, often by combining cheaper and more expensive calculation levels.
S0006	Finally, the paper works through representative examples to show how the recommended protocols behave and how different technical choices change the answer.
S0007	Chemistry and synthesis help address major problems such as energy storage, sustainable food production, and affordable medicines.
S0008	In each of those areas, researchers need to design molecules and materials rationally, such as catalysts, battery electrolytes, electronic materials, and drugs.
S0009	To do that well, chemists must understand atoms and electrons, using experiments, spectroscopy, and quantum-chemistry calculations together.
S0010	Computational chemistry, especially Kohn-Sham DFT, has become a third major tool alongside making molecules and measuring them experimentally.
S0011	The authors argue that DFT is important because it often gives a lot of chemical insight for the amount of time, money, and effort spent.
S0012	In principle, DFT starts from fundamental quantum mechanics, but in practice it uses empirical approximations to handle the many-electron problem behind chemistry, biology, and physics.
S0013	When DFT is paired with models for nuclear motion, such as molecular dynamics or harmonic potential-energy approximations, it can answer many chemistry and physics questions accurately enough to be useful.
S0014	The deeper theory of DFT has already been covered in a separate open review, so this paper points readers there for detailed theoretical issues and stays focused on practical use.
S0015	For broader challenges in theoretical and computational chemistry, the authors direct readers to references [2] and [3].
S0016	Compared with other methods, DFT is a middle ground: it is slower but more dependable than semi-empirical quantum mechanics, and faster but usually less rigorous than wavefunction methods such as coupled-cluster theory, as sketched in Figure 1.
S0017	Efficient coupled-cluster variants, including DLPNO-CCSD(T), can sometimes compete with high-level DFT, but this paper does not focus on them.
S0018	DFT can also save researcher time and computer power.
S0019	Another advantage is robustness: DFT usually does not fail catastrophically, even for difficult molecules or unusual chemistry.
S0020	Semi-empirical and other more empirical methods need more careful checking because they are more likely to give misleading results.
S0021	Because of this reliability, non-specialists can often use DFT as a practical black-box tool for chemical problems.
S0022	Typical uses include checking whether proposed structures and mechanisms make sense, or plotting frontier orbitals and HOMO/LUMO energies to interpret electrochemistry in materials science.
S0023	Even so, choosing a method that is affordable, reliable, and accurate remains hard, even for experienced computational chemists.
S0024	One reason is that recent years have produced a huge number of possible method combinations.
S0025	Even the basic pairing of a density functional with an atomic-orbital basis set can involve hundreds or thousands of options in common software.
S0026	For tiny molecules, using a very expensive method may be acceptable, but systems with 50-100 atoms or many low-energy shapes force researchers to make careful cost-versus-accuracy compromises.
S0027	Some quantum-chemistry programs also still offer outdated defaults, which can lead inexperienced users toward methods that are no longer recommended.
S0028	A key example is B3LYP/6-31G*, which remains common even though it can perform poorly because it misses London dispersion and suffers from basis-set superposition error; awareness of these problems has spread slowly beyond theory specialists.
S0029	Tutorials that explain these weaknesses and show better choices, such as work by Peverati and Morgante or by Mobley, are therefore useful for the field.
S0030	Over the past 10-20 years, better dispersion corrections and BSSE corrections have made routine B3LYP/6-31G* calculations obsolete.
S0031	Researchers now have alternatives that are often more accurate, more robust, and sometimes cheaper, including composite methods such as B3LYP-3c, r2SCAN-3c, B3LYP-D3DCP, and B97M-V/def2-SVPD/DFT-C.
S0032	These newer methods are designed to remove the systematic problems of B3LYP/6-31G* without making the calculation more expensive.
S0033	Figure 1 compares the computational cost of the main approaches, and Sections 4.2 and 4.3 show concrete failures of B3LYP/6-31G* and ways to avoid them.
S0034	The paper's main aim is to introduce these improved methods to chemists who are interested but not specialists, including readers with some theory background.
S0035	It gives best-practice advice for common tasks such as finding structures and conformer ensembles, calculating reaction energies and barriers, estimating free energies, and treating solvation.
S0036	It also briefly explains how reliable DFT calculations can be embedded in multi-level workflows to study solvated and temperature-averaged sets of conformers, protomers, or tautomers.
S0037	Because quantum chemistry is broad, the paper mostly leaves aside topics such as theoretical spectroscopy, excited states, periodic materials, and heavy-element chemistry.
S0038	It also does not cover detailed analyses of atom and fragment interactions, such as energy decomposition analysis or natural bonding orbital analysis.
S0039	The recommendations draw on more than 25 years of work in DFT, functional development, thermochemical benchmarks, and many collaborative chemistry applications.
S0040	Most advice is evidence-based, relying on large benchmark comparisons between approximate DFT, experiment, and high-accuracy coupled-cluster calculations.
S0041	Some judgments, however, are hard to prove cleanly with statistics because method performance can depend on the model, basis set, functional, and chemical case.
S0042	For that reason, the guidance also reflects the authors' practical experience.
S0043	The authors value robustness more than best-case benchmark ranking, because in predictive chemistry avoiding large unexpected errors matters more than being exact to the final kcal mol-1.
