S0001	Structural dynamics are fundamental to protein functions and mutation effects.
S0002	Current protein deep learning models are predominantly trained on sequence and/or static structure data, which often fail to capture the dynamic nature of proteins.
S0003	To address this, we introduce SeqDance and ESMDance, two protein language models trained on dynamic biophysical properties derived from molecular dynamics simulations and normal mode analyses of over 64,000 proteins. (A protein language model is an AI model that reads amino-acid sequences in a way similar to how language models read words.)
S0004	Both models can be directly applied to predict dynamic properties of unseen ordered and disordered proteins.
S0005	SeqDance, trained from scratch, has attentions that capture dynamic interaction and comovement between residues, and its embeddings encode rich representations of protein dynamics that can be further utilized to predict conformational properties beyond the training tasks via transfer learning. (SeqDance is the paper's model trained directly from protein sequences to predict dynamic biophysical properties.)
S0006	SeqDance predicted dynamic property changes reflect mutation effect on protein folding stability.
S0007	ESMDance, built upon ESM2 (Evolutionary Scale Model II) outputs, much outperforms ESM2 in zero-shot prediction of mutation effects for designed and viral proteins which lack evolutionary information. (ESMDance is the paper's model that starts from ESM2 representations and adds training on protein dynamics.)
S0008	Together, SeqDance and ESMDance offer a method for integrating protein dynamics into language models, enabling more generalizable predictions of protein behavior and mutation effects.
S0009	The sequence—structure (ensemble)—function relationship is central to biology.
S0010	Protein dynamics in the structure ensemble determine function and mutation effects, and are widely used to study thermodynamics, folding pathways, and dynamic interactions of ordered proteins, as well as the conformational variability of intrinsically disordered proteins.
S0011	But, current best currently available protein deep learning models, such as AlphaFold2,3 and evolutionary scale model (ESM), focus on static structures and sequences, which failed to directly capture protein dynamics.
S0012	Here, we address this gap by developing protein language models to learn dynamic properties of over 64,000 proteins.
S0013	We show that the model’s Transformer attentions capture protein dynamic interactions, and our model can be applied to predict conformational properties and mutation effects. molecular dynamics | protein language model | normal mode analysis | mutation effects (A transformer is a neural-network architecture that uses attention to model relationships between many items at once.)
S0014	Protein deep learning models have made significant progresses in predicting 3D structure [e.g., AlphaFold (1, 2), RoseTTAfold (3), and ESMFold (4)], protein function (5), sta bility (6), localization (7), and interactions (8).
S0015	A central challenge in developing effective models lies in the selection of information sources that models can interpret and learn from.
S0016	Broadly, this information can be classified into two main types: evolutionary and biophysical (9).
S0017	Evolutionary information is derived from protein homologous sequences across species that have been shaped by similar selection pressures.
S0018	Multiple sequence alignments (MSAs) of homologs contain information of conserved motifs and coevolutionary pairs. (A homolog is a related protein sequence that likely shares evolutionary ancestry.)
S0019	Recently, protein language models (pLMs) like ESM1,2 (4, 10), ProtTrans (11), and ProGen (12), trained on large-scale protein sequence datasets, have emerged as powerful tools to implic itly learn evolutionary information (13, 14). pLMs learn rich representations of evolu tionary information and perform well across diverse tasks, making them common baselines for evaluating new models.
S0020	MSAs and pLMs have been successfully applied to predict 3D structures (1, 4), predict pathogenic mutations (15, 16), identify signal peptides (6), and even generate novel proteins (12).
S0021	But, the effectiveness of evolutionary information relies on the quality and quantity of available homologous sequences.
S0022	For instance, the confidences of structure predictions correlate to the number of homologous sequences (1, 4).
S0023	As a result, evolutionary information is less effective for intrinsically disordered regions (IDRs), designed proteins, rapidly evolving viral proteins, immune proteins, and those from understudied species like extremophiles (17), where homologous sequences are either sparse or highly divergent. (Intrinsically disordered regions are protein regions that do not settle into one fixed 3D shape.)
S0024	Also, evolutionary patterns in homologs are the outcomes of protein functions rather than the underlying causes (Figure 1A).
S0025	Overreliance on evolu tionary information may bias models toward correlational patterns rather than learning fundamental principles governing protein behaviors.
S0026	Biophysical information, primarily derived from protein structures, circumvents the limitations of evolutionary information.
S0027	Predicting protein behaviors from biophysical information aligns with the central paradigm that sequence determines structure, and structure governs function (Figure 1A), thereby enabling models to generalize more broadly across the protein universe.
S0028	Biophysical information has been applied to a broad set of biological questions.
S0029	For example, predicted structures have been used to predict mutation effects and functional sites (18).
S0030	MaSIF (8) utilized biophysical and geometric To whom correspondence may be addressed.
S0031	Email: ys2411@cumc.columbia.edu. features on protein surface to study protein interactions.
S0032	PScore (19) was trained to predict Pi-interactions derived from PDB (20) structures and can be used to identify phase-separating proteins (21). (PDB is the Protein Data Bank, the main public structure database.)
S0033	Additionally, there have been initiatives to integrate biophysical information into pLMs.
S0034	ProSE (9) was trained to predict masked residues, contacts within static struc tures, and structural similarities, while METL (22) was devel oped to predict biophysical properties derived from static structures (Figure 1B).
S0035	There were also pLMs that integrate struc ture token information (14, 23).
S0036	But, current protein models use biophysical information from static structures.
S0037	These structural snapshots lack crucial infor mation about thermodynamics, allostery, folding, and dynamic interactions.
S0038	Also, static structures cannot describe the dynamic nature of IDRs, which constitute more than 30% of the human proteome (24) and use their inherent flexibility to mediate essential biological processes.
S0039	Protein dynamics are fundamental to under stand protein behaviors and mutation effects.
S0040	Although evolutionary information encodes aspects of protein dynamics (25, 26), it depends on the quality and quantity of homologous sequences and cannot be directly extracted.
S0041	Molecular dynamics (MD) simulations are routinely used to study protein dynamics, generating ensembles of structures based on defined physical forces over the simulation time. (Molecular dynamics means simulating how atoms or coarse-grained protein parts move over time according to physical forces.)
S0042	All-atom MD simulations are often computationally intensive to reach a converged equilibrium state (27).
S0043	Coarse-grained models simplify protein residues into beads and use task-specific force fields to reduce computation cost (24). (Coarse-grained models simplify a molecule by grouping atoms into larger units so simulations are cheaper.)
S0044	Additionally, normal mode analysis (NMA) (28, 29) can describe protein vibrations around the equi librium conformation, with low-frequency modes capturing large-scale motions. (Normal mode analysis estimates the natural vibration patterns of a protein around a stable shape.)
S0045	What’s more, deep learning models have been developed to generate conformation ensembles (30, 31).
S0046	While these methods are widely used to study protein dynamics, the produced data are often high-dimensional and irregularly shaped.
S0047	Thus, effec tively and efficiently integrating these dynamic data into protein deep learning models remains a significant challenge.
S0048	In this study, we present a deep learning method to integrate dynamics data into pLMs.
S0049	Using dynamics profiles from 64,403 proteins, we pretrained (i.e., train models on large scale, general datasets to learn useful information before applying them to specific tasks) two models: SeqDance and ESMDance.
S0050	SeqDance is trained from scratch directly on protein dynamics data, whereas ESMDance is built upon ESM2 outputs, which implicitly encode structural and evolutionary information.
S0051	We demonstrated that our models capture local dynamic properties and global conformational prop erties for proteins not included in the training data.
S0052	We also applied our models for zero-shot (applying models directly to a new task without any additional training) prediction of mutation effects, achieving superior performance on designed and viral proteins, where evolution-based methods typically underperform. (Zero-shot means applying a model to a task without training it specifically on examples for that task.)
S0053	Figure 1.
S0054	Information flow in protein study, representative pLMs, model pretraining and performance on test set.
S0055	(A) Illustration of the “sequence—structure ensemble—function—evolution” paradigm.
S0056	The sequence is the basis of a protein, which folds into a structural ensemble to perform its function.
S0057	Functionally important region exhibits conserved patterns across homologs.
S0058	(B) Representative pLMs and their information sources.
S0059	ESM1 and 2 were trained to predict masked residues and implicitly learned evolutionary information.
S0060	ProSE was trained to predict masked residues, pairwise contact in static structures, and structure similarity.
S0061	METL was trained to predict biophysical terms calculated from static structures.
S0062	SeqDance and ESMDance were trained on protein dynamic properties from MD simulations, experimental data, and NMA of static structures.
S0063	(C) Diagram of the pretraining process.
S0064	SeqDance and ESMDance take a protein sequence as input and predict residue-level and pairwise dynamic properties, which are extracted from structure ensembles and NMA.
S0065	Both models use a Transformer encoder architecture identical to ESM2-35M, consisting of 12 layers with 20 heads per layer and an embedding dimension of 480. (An embedding is a learned numerical representation that stores useful information about a sequence or residue.)
S0066	Linear layers are applied to the residue embeddings to predict residue-level properties.
S0067	For pairwise property prediction, pairwise embeddings, constructed from residue embeddings, are concatenated with attention maps, a linear layer is then applied to predict pairwise properties.
S0068	(D and E) Comparison of SeqDance, ESMDance, and STARLING on 1,249 test IDRs (filtered to sequences ≤384 residues, since STARLING cannot be applied to longer IDRs).
S0069	STARLING was used to generate 20 or 200 conformations for each IDR.
S0070	(F and G) Comparison of SeqDance, ESMDance, and two NMA methods on 404 test high-resolution ordered proteins (filtered to sequences ≤1,024 residues, since SeqDance and ESMDance were trained with max length of 1,024).
S0071	The low-frequency 5 or 20 modes from GNM and 5 × 3 or 20 × 3 modes from ANM were used for each protein (see Methods for details). (The Gaussian Network Model is a simplified normal-mode method for estimating protein motions.)
S0072	In those boxplots, the box extends from the first quartile to the third quartile of the data, with a line at the median.
S0073	The whiskers extend from the box to the farthest data point lying within 1.5 times the interquartile range from the box.
S0074	To establish the protein dynamics dataset, we curated both highresolution and low-resolution data sources.
S0075	High-resolution data include experimental data and all-atom MD simulation trajectories from mdCATH (32), ATLAS (33), GPCRmd (34), PED (35).
