S0001	Proteins are essential for life, and knowing their 3D shape helps explain how they work.
S0002	Scientists have experimentally solved about 100,000 unique protein structures, but there are billions of known protein sequences, so most structures are still unknown.
S0003	The main bottleneck is that solving even one protein structure in the lab can take months or years of careful work.
S0004	So we need accurate computer methods to close this gap and support large-scale structure analysis.
S0005	A major open problem for 50+ years has been predicting a protein's 3D shape from only its amino acid sequence, which is the structure-prediction part of the protein-folding problem.
S0006	Although methods improved recently, they are still far from atom-level accuracy, especially when no similar known structure exists.
S0007	Here we present the first computational method that can regularly reach atom-level accuracy even when no related structure is known.
S0008	We tested a completely redesigned neural-network AlphaFold in CASP14, a hard blind benchmark, and it was usually as accurate as experiments while clearly beating other methods.
S0009	This AlphaFold version uses a new machine-learning design that builds in physical and biological knowledge and uses multiple-sequence alignments inside the deep-learning system.
S0010	Work on predicting 3D protein structure from sequence has followed two main paths: one based on physics and one based on evolution.
S0011	The physics path tries to model molecular forces directly using thermodynamic or kinetic simulations, or statistical approximations of them.
S0012	That idea is attractive, but it is very hard in practice because simulations are computationally expensive, protein stability depends on context, and the physics models are not accurate enough.
S0013	More recently, the evolution path has inferred structural constraints from sequence history, similarity to solved structures, and correlated mutations between residue pairs.
S0014	This bioinformatics approach improved a lot thanks to growth of the PDB, huge increases in genome sequencing, and better deep-learning methods for reading these correlations.
S0015	Even so, current physics-based and evolution-based methods are usually not close to experimental accuracy when no close homolog is known, which limits practical use.
S0016	In this work, we built what we believe is the first computational method that predicts structures near experimental accuracy in most cases.
S0017	We entered our new neural network, AlphaFold2, in CASP14 (May to July 2020); it was completely different from our CASP13 system.
S0018	CASP runs every two years and uses newly solved structures that are not yet public, making it a blind test and the standard benchmark for structure-prediction accuracy.
S0019	In CASP14, AlphaFold predictions were much more accurate than other methods.
S0020	AlphaFold reached a median backbone error of 0.96 angstrom r.m.s.d.95 (95% CI 0.85 to 1.16), while the next best method was 2.8 angstrom (95% CI 2.7 to 4.0) on CASP domains; see Fig. 1a and Supplementary Fig. 14.
S0021	For scale, a carbon atom is about 1.4 angstroms wide.
